GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US02066,"Copper River Census Area, Alaska",2617,84,1591,6,645,17,10,15,249
0500000US02068,"Denali Borough, Alaska",1619,32,1378,9,59,13,3,4,121
0500000US02070,"Dillingham Census Area, Alaska",4857,146,770,19,3412,45,9,7,449
0500000US02090,"Fairbanks North Star Borough, Alaska",95655,7320,63178,3804,7299,3031,584,812,9627
0500000US02100,"Haines Borough, Alaska",2080,67,1577,2,205,14,2,9,204
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365,120,1123,6,841,15,4,16,240
0500000US02110,"Juneau City and Borough, Alaska",32255,2077,19673,328,3397,2086,469,183,4042
0500000US02122,"Kenai Peninsula Borough, Alaska",58799,2328,45546,361,4107,793,173,372,5119
0500000US02130,"Ketchikan Gateway Borough, Alaska",13948,650,8221,100,2264,1118,26,93,1476
0500000US02150,"Kodiak Island Borough, Alaska",13101,1024,6291,85,1759,2781,107,74,980
0500000US02158,"Kusilvak Census Area, Alaska",8368,14,173,16,7946,23,0,14,182
0500000US02164,"Lake and Peninsula Borough, Alaska",1476,34,297,1,993,7,0,0,144
0500000US02170,"Matanuska-Susitna Borough, Alaska",107081,5244,81050,1059,6531,1515,476,785,10421
0500000US02180,"Nome Census Area, Alaska",10046,186,1393,52,7508,109,5,25,768
0500000US02185,"North Slope Borough, Alaska",11031,548,2964,159,5680,636,321,30,693
0500000US02188,"Northwest Arctic Borough, Alaska",7793,102,684,71,6453,53,11,0,419
0500000US02195,"Petersburg Borough, Alaska",3398,164,2444,46,231,117,12,21,363
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753,160,2368,21,2529,25,30,16,604
0500000US02220,"Sitka City and Borough, Alaska",8458,501,5050,37,1206,573,14,53,1024
0500000US02230,"Skagway Municipality, Alaska",1240,41,1056,6,23,39,0,6,69
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808,376,4993,68,795,87,13,23,453
0500000US02275,"Wrangell City and Borough, Alaska",2127,76,1341,0,368,25,2,11,304
0500000US02282,"Yakutat City and Borough, Alaska",662,29,248,2,250,32,1,0,100
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343,72,1121,6,3818,8,3,16,299
0500000US04001,"Apache County, Arizona",66021,3861,13791,184,46509,307,18,115,1236
0500000US04003,"Cochise County, Arizona",125447,42615,68256,4371,762,2587,421,725,5710
0500000US04005,"Coconino County, Arizona",145101,21719,76904,1777,35143,2582,254,616,6106
0500000US04007,"Gila County, Arizona",53272,9283,32757,239,8655,427,45,203,1663
0500000US04009,"Graham County, Arizona",38533,11428,20398,453,5143,169,16,102,824
0500000US04011,"Greenlee County, Arizona",9563,4376,4446,80,275,68,1,34,283
0500000US04012,"La Paz County, Arizona",16557,4197,9061,102,2354,111,41,43,648
0500000US04013,"Maricopa County, Arizona",4420568,1351415,2357571,245239,68353,197910,9579,20693,169808
